"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 153, 12, 35, 200
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 1025, 0, 0, 0, 0, 0, 0, 0, 1, 1026
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\1_2025\proyecto.json", "JSON", 273, 0, 0, 0, 0, 0, 0, 0, 0, 273
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\1_2026\proyecto.json", "JSON", 273, 0, 0, 0, 0, 0, 0, 0, 0, 273
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2025\proyecto.json", "JSON", 273, 0, 0, 0, 0, 0, 0, 0, 0, 273
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2026\proyecto.json", "JSON", 274, 0, 0, 0, 0, 0, 0, 0, 0, 274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2026\proyecto.json", "JSON", 274, 0, 0, 0, 0, 0, 0, 0, 0, 274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ultimoProyecto.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package-lock.json", "JSON", 208, 0, 0, 0, 0, 0, 0, 0, 1, 209
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\README.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 24, 60
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 15397, 0, 0, 0, 0, 0, 0, 0, 1, 15398
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 0, 1710, 0, 0, 0, 0, 217, 236, 2163
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 5, 7, 58
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.spec.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.routes.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
