"filename", "language", "JSON", "TypeScript", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 28, 3, 4, 35
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2025\proyecto.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 28
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2025\proyecto.json", "JSON", 296, 0, 0, 0, 0, 0, 0, 296
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 11, 0, 0, 0, 0, 0, -1, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 26
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", -213, 0, 0, 0, 0, 0, 0, -213
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 195, 0, 0, 0, 43, 33, 271
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\calculos.ts", "TypeScript", 0, 3955, 0, 0, 0, 132, 184, 4271
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 1, 0
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.routes.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, 0, 17, 0, 0, 0, -3, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, -2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.html", "HTML", 0, 0, 16, 0, 0, 1, 1, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 27, 0, 0, 0, 21, 6, 54
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 30, 0, 0, 0, -5, -2, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\declaracion-responsable.ts", "TypeScript", 0, -2, 0, 0, 0, 0, -1, -3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 1460, 0, 0, 0, 6, 25, 1491
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 6, 124
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\canva\canva.component.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\canva\canva.component.ts", "TypeScript", 0, 86, 0, 0, 0, 13, 12, 111
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 0, 0, 12, 0, 0, -1, -9, 2
