"filename", "language", "JSON", "JSON with Comments", "Markdown", "PostCSS", "TypeScript", "HTML", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 181, 15, 39, 235
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 1025, 0, 0, 0, 0, 0, 0, 0, 1, 1026
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\1_2025\proyecto.json", "JSON", 273, 0, 0, 0, 0, 0, 0, 0, 0, 273
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\1_2026\proyecto.json", "JSON", 273, 0, 0, 0, 0, 0, 0, 0, 0, 273
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2025\proyecto.json", "JSON", 301, 0, 0, 0, 0, 0, 0, 0, 0, 301
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2026\proyecto.json", "JSON", 274, 0, 0, 0, 0, 0, 0, 0, 0, 274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2025\proyecto.json", "JSON", 296, 0, 0, 0, 0, 0, 0, 0, 0, 296
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2026\proyecto.json", "JSON", 274, 0, 0, 0, 0, 0, 0, 0, 0, 274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ultimoProyecto.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package-lock.json", "JSON", 208, 0, 0, 0, 0, 0, 0, 0, 1, 209
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 24, 60
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 114, 0, 0, 0, 0, 0, 0, 0, 1, 115
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 15184, 0, 0, 0, 0, 0, 0, 0, 1, 15185
