"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\10_2025\proyecto.json", "JSON", 493, 0, 0, 0, 0, 0, 0, 0, 493
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\11_2025\proyecto.json", "JSON", 318, 0, 0, 0, 0, 0, 0, 0, 318
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\12_2025\proyecto.json", "JSON", 495, 0, 0, 0, 0, 0, 0, 0, 495
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\13_2025\proyecto.json", "JSON", 482, 0, 0, 0, 0, 0, 0, 0, 482
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\14_2025\proyecto.json", "JSON", 494, 0, 0, 0, 0, 0, 0, 0, 494
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\15_2025\proyecto.json", "JSON", 305, 0, 0, 0, 0, 0, 0, 0, 305
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\16_2025\proyecto.json", "JSON", 3807, 0, 0, 0, 0, 0, 0, 0, 3807
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\9_2025\proyecto.json", "JSON", 508, 0, 0, 0, 0, 0, 0, 0, 508
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package-lock.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 89, 0, 0, 0, 0, 0, 0, 0, 89
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 832, 0, 0, 0, 0, 0, 0, 0, 832
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.html", "HTML", 0, 0, 0, 26, 0, 0, 4, 6, 36
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.routes.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, 0, 0, 114, 0, 0, 6, 4, 124
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 2, 22, 160
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\interfaces\modificacion.ts", "TypeScript", 0, 0, 596, 0, 0, 0, 0, 22, 618
