"filename", "language", "HTML", "TypeScript", "JSON", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\125_2025\proyecto.json", "JSON", 0, 0, 556, 0, 0, 556
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\126_2025\proyecto.json", "JSON", 0, 0, 331, 0, 1, 332
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\127_2025\proyecto.json", "JSON", 0, 0, 229, 0, 0, 229
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 0, 0, 11, 0, 0, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\funciones\generarInformeProyecto.ts", "TypeScript", 0, 9, 0, 0, 1, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.html", "HTML", 263, 0, 0, 18, 9, 290
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.ts", "TypeScript", 0, 1124, 0, 29, 33, 1186
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 60, 0, 0, 12, 72
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\calculos.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.html", "HTML", 3, 0, 0, 0, 0, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\app.component.ts", "TypeScript", 0, 21, 0, 3, 5, 29
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 44, 0, 7, 4, 55
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\certificado-taller.ts", "TypeScript", 0, 44, 0, 1, 0, 45
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\declaracion-responsable.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 432, 0, 1, 28, 461
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 0, 31, 0, 0, 6, 37
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\canva\canva.component.ts", "TypeScript", 0, 29, 0, 0, 4, 33
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 0, -5, 0, 5, 0, 0
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 19, 0, 0, 12, 9, 40
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 0, 151, 0, -46, 39, 144
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 25, 0, 15, 6, 46
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\imagenes\imagenes.component.html", "HTML", 72, 0, 0, -5, 3, 70
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\imagenes\imagenes.component.ts", "TypeScript", 0, 118, 0, 6, 32, 156
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 330, 0, 0, 0, 1, 331
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, -213, 0, -2, -36, -251
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\seleccion-secciones\seleccion-secciones.component.html", "HTML", 1, 0, 0, 1, 1, 3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\seleccion-secciones\seleccion-secciones.component.ts", "TypeScript", 0, 16, 0, 9, 2, 27
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", -3, 0, 0, 0, 0, -3
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 9, 0, 0, 4, 13
"Total", "-", 685, 1900, 1127, 54, 164, 3930
