"filename", "language", "TypeScript", "HTML", "JSON", "PostCSS", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\128_2025\proyecto.json", "JSON", 0, 0, 368, 0, 0, 0, 368
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\129_2025\proyecto.json", "JSON", 0, 0, 1339, 0, 0, 0, 1339
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.css", "PostCSS", 0, 0, 0, 0, 0, -1, -1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, -114, 0, 0, -6, -4, -124
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.spec.ts", "TypeScript", -18, 0, 0, 0, 0, -6, -24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", -136, 0, 0, 0, -2, -22, -160
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\cocheono\cocheono.component.css", "PostCSS", 0, 0, 0, 0, 0, -1, -1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\cocheono\cocheono.component.html", "HTML", 0, -90, 0, 0, -1, -8, -99
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\cocheono\cocheono.component.spec.ts", "TypeScript", -18, 0, 0, 0, 0, -6, -24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", -68, 0, 0, 0, -13, -16, -97
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 0, 47, 0, 0, -3, 6, 50
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.html", "HTML", 0, 127, 0, 0, 0, 13, 140
