"filename", "language", "JSON", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 313, 24, 65, 402
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ingenieros.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 1025, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1026
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\125_2025\proyecto.json", "JSON", 556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\126_2025\proyecto.json", "JSON", 331, 0, 0, 0, 0, 0, 0, 0, 0, 1, 332
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\127_2025\proyecto.json", "JSON", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 229
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\128_2025\proyecto.json", "JSON", 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\129_2025\proyecto.json", "JSON", 1339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1339
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\18_2025\proyecto.json", "JSON", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 406
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\19_2025\proyecto.json", "JSON", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\20_2025\proyecto.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\21_2025\proyecto.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\22_2025\proyecto.json", "JSON", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\23_2025\proyecto.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\24_2025\proyecto.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\25_2025\proyecto.json", "JSON", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\26_2025\proyecto.json", "JSON", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\27_2025\proyecto.json", "JSON", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\28_2025\proyecto.json", "JSON", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
