"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\arquitectos.json", "JSON", 0, 14, 0, 0, 0, 0, 1, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 309, 17, 65, 391
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 60
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 0, 136, 0, 0, 0, 0, 0, 136
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\125_2025\proyecto.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 90
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\126_2025\proyecto.json", "JSON", 0, 136, 0, 0, 0, 0, -1, 135
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\127_2025\proyecto.json", "JSON", 0, -229, 0, 0, 0, 0, 0, -229
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\128_2025\proyecto.json", "JSON", 0, -368, 0, 0, 0, 0, 0, -368
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\129_2025\proyecto.json", "JSON", 0, -1339, 0, 0, 0, 0, 0, -1339
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\18_2025\proyecto.json", "JSON", 0, 112, 0, 0, 0, 0, 0, 112
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\19_2025\proyecto.json", "JSON", 0, -65, 0, 0, 0, 0, 0, -65
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\20_2025\proyecto.json", "JSON", 0, 90, 0, 0, 0, 0, 1, 91
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\21_2025\proyecto.json", "JSON", 0, -381, 0, 0, 0, 0, 0, -381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\22_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\23_2025\proyecto.json", "JSON", 0, -381, 0, 0, 0, 0, 0, -381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\24_2025\proyecto.json", "JSON", 0, -381, 0, 0, 0, 0, 0, -381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\25_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\26_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\27_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\28_2025\proyecto.json", "JSON", 0, -381, 0, 0, 0, 0, 0, -381
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\29_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2026\proyecto.json", "JSON", 0, 484, 0, 0, 0, 0, 0, 484
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\30_2025\proyecto.json", "JSON", 0, -379, 0, 0, 0, 0, 0, -379
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\31_2025\proyecto.json", "JSON", 0, -732, 0, 0, 0, 0, 0, -732
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\32_2025\proyecto.json", "JSON", 0, -385, 0, 0, 0, 0, 0, -385
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\33_2025\proyecto.json", "JSON", 0, -690, 0, 0, 0, 0, 0, -690
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\34_2025\proyecto.json", "JSON", 0, -366, 0, 0, 0, 0, 0, -366
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\35_2025\proyecto.json", "JSON", 0, -395, 0, 0, 0, 0, 0, -395
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\36_2025\proyecto.json", "JSON", 0, -394, 0, 0, 0, 0, 0, -394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\37_2025\proyecto.json", "JSON", 0, -394, 0, 0, 0, 0, 0, -394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\38_2025\proyecto.json", "JSON", 0, -394, 0, 0, 0, 0, 0, -394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\39_2025\proyecto.json", "JSON", 0, -655, 0, 0, 0, 0, 0, -655
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2026\proyecto.json", "JSON", 0, 462, 0, 0, 0, 0, 0, 462
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\40_2025\proyecto.json", "JSON", 0, -383, 0, 0, 0, 0, 0, -383
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\41_2025\proyecto.json", "JSON", 0, -1077, 0, 0, 0, 0, 0, -1077
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\43_2025\proyecto.json", "JSON", 0, -374, 0, 0, 0, 0, 0, -374
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\4_2026\proyecto.json", "JSON", 0, 516, 0, 0, 0, 0, 0, 516
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 33
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\usuarios.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\viviendas\viviendas.json", "JSON", 0, 119, 0, 0, 0, 0, 0, 119
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 0, 418, 0, 0, 0, 0, 0, 418
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 5
