"filename", "language", "JSON", "TypeScript", "HTML", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\03_2026\proyecto.json", "JSON", 616, 0, 0, 0, 0, 616
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\08_2026\proyecto.json", "JSON", 505, 0, 0, 0, 0, 505
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\10_2026\proyecto.json", "JSON", 472, 0, 0, 0, 0, 472
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\153_2026\proyecto.json", "JSON", 543, 0, 0, 0, 0, 543
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\154_2026\proyecto.json", "JSON", 492, 0, 0, 0, 0, 492
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 22, 0, 0, 0, 0, 22
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, -12, 0, 0, 0, -12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 49, 0, 0, 49
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 106, 0, 14, 22, 142
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\calculos.ts", "TypeScript", 0, 1741, 0, 8, 117, 1866
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.html", "HTML", 0, 0, 67, 0, 5, 72
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\certificado-taller.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 23, 0, 6, 4, 33
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 0, 63, 0, 0, 13, 76
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 2624, 0, 38, 2662
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 166, 0, 18, 3, 187
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 172, 0, 2, 174
"Total", "-", 2650, 2099, 2912, 46, 205, 7912
