"filename", "language", "JSON", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "SCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\arquitectos.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 622, 41, 130, 793
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ingenieros.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 1161, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1162
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\03_2026\proyecto.json", "JSON", 616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 616
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\08_2026\proyecto.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 505
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\10_2026\proyecto.json", "JSON", 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\125_2025\proyecto.json", "JSON", 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 646
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\126_2025\proyecto.json", "JSON", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\153_2026\proyecto.json", "JSON", 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 543
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\154_2026\proyecto.json", "JSON", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492
