"filename", "language", "TypeScript", "HTML", "JSON", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 0, 0, 34, 0, 0, 34
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\03_2026\proyecto.json", "JSON", 0, 0, -138, 0, 0, -138
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\14_2026\proyecto.json", "JSON", 0, 0, 487, 0, 0, 487
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\154_2026\proyecto.json", "JSON", 0, 0, 18, 0, 0, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\19_2026\proyecto.json", "JSON", 0, 0, 526, 0, 0, 526
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\20_2026\proyecto.json", "JSON", 0, 0, 570, 0, 0, 570
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 0, 0, 22, 0, 0, 22
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\usuarios.json", "JSON", 0, 0, 6, 0, 0, 6
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\viviendas\viviendas.json", "JSON", 0, 0, 127, 0, 0, 127
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 0, 0, 274, 0, 0, 274
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 0, 0, 2, 0, 0, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 48, 0, 0, 0, 1, 49
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\Funciones\calculos.ts", "TypeScript", 4497, 0, 0, 18, 352, 4867
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\interfaces\modificacion.ts", "TypeScript", 17, 0, 0, 0, 1, 18
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\funciones\documento.service.ts", "TypeScript", 141, 0, 0, -45, 10, 106
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.html", "HTML", 0, 126, 0, 0, -1, 125
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.html", "HTML", 0, 9, 0, 0, 0, 9
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pagesVivienda\memoria-tecnica-diseno\memoria-tecnica-diseno.component.ts", "TypeScript", 29, 0, 0, -8, 4, 25
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 19, 0, 0, 0, 3, 22
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 485, 0, 0, 12, 497
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 30, 0, 0, 7, 6, 43
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\src\typings.d.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"Total", "-", 4787, 620, 1928, -28, 389, 7696
