"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\arquitectos.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 694, 42, 145, 881
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ingenieros.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\instaladores.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\memorias_tecnicas\memorias.json", "JSON", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 355
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package-lock.json", "JSON", 1161, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1162
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\03_2026\proyecto.json", "JSON", 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\08_2026\proyecto.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 505
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\10_2026\proyecto.json", "JSON", 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\125_2025\proyecto.json", "JSON", 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 646
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\126_2025\proyecto.json", "JSON", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 467
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\14_2026\proyecto.json", "JSON", 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 487
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\153_2026\proyecto.json", "JSON", 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 543
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\154_2026\proyecto.json", "JSON", 510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 510
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\18_2025\proyecto.json", "JSON", 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 518
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\18_2026\proyecto.json", "JSON", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 492
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\19_2025\proyecto.json", "JSON", 427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 427
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\19_2026\proyecto.json", "JSON", 526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 526
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2000_2026\proyecto.json", "JSON", 1741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1741
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\20_2025\proyecto.json", "JSON", 471, 0, 0, 0, 0, 0, 0, 0, 0, 1, 472
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\20_2026\proyecto.json", "JSON", 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 570
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\22_2026\proyecto.json", "JSON", 524, 0, 0, 0, 0, 0, 0, 0, 0, 1, 525
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\25_2026\proyecto.json", "JSON", 605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 605
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\26_2026\proyecto.json", "JSON", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 512
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\2_2026\proyecto.json", "JSON", 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 484
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\32_2026\proyecto.json", "JSON", 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 546
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\3_2026\proyecto.json", "JSON", 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\42_2025\proyecto.json", "JSON", 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 425
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\proyectos\4_2026\proyecto.json", "JSON", 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 516
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\talleres.json", "JSON", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\ultimoProyecto.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\usuarios.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\backend\viviendas\viviendas.json", "JSON", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package-lock.json", "JSON", 225, 0, 0, 0, 0, 0, 0, 0, 0, 1, 226
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\package.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 24, 60
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\angular.json", "JSON", 291, 0, 0, 0, 0, 0, 0, 0, 0, 1, 292
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package-lock.json", "JSON", 16755, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16756
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\package.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 4, 6, 36
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.config.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\funciones\generarInformeProyecto.ts", "TypeScript", 0, 0, 0, 965, 0, 0, 0, 0, 11, 52, 1028
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\interfaces\modificacion.ts", "TypeScript", 0, 0, 0, 611, 0, 0, 0, 0, 0, 23, 634
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 0, 0, 0, 0, 0, 119, 0, 0, 5, 14, 138
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 0, 0, 0, 369, 0, 0, 0, 0, 19, 56, 444
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.html", "HTML", 0, 0, 0, 0, 0, 230, 0, 0, 3, 18, 251
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma\finalizar-reforma.component.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 12, 35, 203
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto\formulario-proyecto.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto\formulario-proyecto.component.html", "HTML", 0, 0, 0, 0, 0, 300, 0, 0, 0, 20, 320
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto\formulario-proyecto.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 0, 0, 257, 0, 0, 0, 0, 7, 25, 289
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.css", "PostCSS", 0, 0, 0, 0, 27, 0, 0, 0, 4, 4, 35
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.html", "HTML", 0, 0, 0, 0, 0, 744, 0, 0, 0, 51, 795
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.ts", "TypeScript", 0, 0, 0, 2375, 0, 0, 0, 0, 64, 144, 2583
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.css", "PostCSS", 0, 0, 0, 0, 43, 0, 0, 0, 3, 7, 53
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 0, 0, 0, 7392, 0, 0, 80, 359, 7831
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 0, 0, 692, 0, 0, 0, 0, 24, 96, 812
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.html", "HTML", 0, 0, 0, 0, 0, 1067, 0, 0, 32, 52, 1151
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 0, 0, 1275, 0, 0, 0, 0, 9, 110, 1394
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\datos-reforma.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\datos-reforma.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\reformas.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\services\reformas.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\codigos_reforma_vehiculo.json", "JSON", 398, 0, 0, 0, 0, 0, 0, 0, 0, 9, 407
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\ingeniero.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\assets\opciones_reforma_vehiculos.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\main.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
